ID,Название,Status,Вердикт,Энтропия_Шеннона,Энтропия_Перестановок,Фрактал_Размерность_GP,Асимметрия_Сдвига,Эксцесс_Хвостов,Автокорреляция_Лаг1,Херст_Хаотичность,Радиус_Облака,Коэф_Сдвига_Аномалий,Доля_Оси_X,Доля_Оси_Y,Доля_Оси_Z,Сила_Закрутки_Ротора,Индекс_Сквозных_Дыр,Коэф_Ветвления,Частота_Фурье
A000314,Number of mixed Husimi trees with n nodes; or labeled polygonal cacti with bridges.,Успешно,Строгий кристаллический тренд,4.0842,-0.0,0.0,4.1281,15.0452,1.0,0.4914,6.557783550747562e+23,18.73,1.0,0.0,0.0,3.0508184266169526e+43,0.0,1.0,1.0
A000315,Number of reduced Latin squares of order n; also number of labeled loops (quasigroups with an identity element) with a fixed identity element.,Skip,Слишком короткий ряд,,,,,,,,,,,,,,,,
A000316,"Two decks each have n kinds of cards, 2 of each kind. The first deck is laid out in order. The second deck is shuffled and laid out next to the first. A match occurs if a card from the second deck is next to a card of the same kind from the first deck. a(n) is the number of ways of achieving no matches.",Успешно,Строгий кристаллический тренд,3.9069,0.3912,0.0,3.4744,10.0714,1.0,0.4873,5.646348936556094e+27,13.98,1.0,0.0,0.0,3.724008829954383e+49,0.0,1.0,1.0
A000317,a(n+1) = a(n)^2 - a(n)*a(n-1) + a(n-1)^2.,Skip,Слишком короткий ряд,,,,,,,,,,,,,,,,
A000318,"Generalized tangent numbers d(4,n).",Успешно,Строгий кристаллический тренд,3.7004,-0.0,0.0,3.1754,8.0833,1.0,0.4844,4.595069969206838e+34,12.0,1.0,0.0,0.0,9.48487999610003e+61,0.0,1.0,1.0
A000319,"a(n) = floor(b(n)), where b(n) = tan(b(n-1)), b(0)=1.",Успешно,Аномальный Сдвиг / Выброс,2.8385,1.7886,0.0,4.5638,36.7225,0.0322,0.5645,7.94,15.9,0.3402,0.3348,0.325,200.72,0.0135,-0.479,2.0
A000320,"Generalized tangent numbers d(5,n).",Успешно,Строгий кристаллический тренд,3.7004,-0.0,0.0,3.1754,8.0833,1.0,0.4844,1.359882774136627e+37,12.0,1.0,0.0,0.0,3.40253312650689e+66,0.0,1.0,1.0
A000321,"H_n(-1/2), where H_n(x) is Hermite polynomial of degree n.",Успешно,Плоский Аттрактор (Петля/Узел),4.6067,2.3827,0.0,4.8655,21.7946,0.9303,0.502,5111380847138998.0,23.27,0.975,0.0249,0.0,4.557666266374233e+30,0.0,0.9489,3.0
A000322,Pentanacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) + a(n-4) + a(n-5) with a(0) = a(1) = a(2) = a(3) = a(4) = 1.,Успешно,Строгий кристаллический тренд,4.7976,-0.0,0.0,4.0298,16.1813,1.0,0.6159,165272299.66,16.71,1.0,0.0,0.0,2118712.84,0.0,1.0,1.0
A000323,"Let A(n) = #{(i,j): i^2 + j^2 <= n}, V(n) = Pi*n, P(n) = A(n) - V(n); A000099 gives values of n where |P(n)| sets a new record; sequence gives A(A000099(n)).",Успешно,Строгий кристаллический тренд,5.1472,-0.0,0.0,1.5064,0.8854,0.991,0.7495,26469.62,8.7,0.8896,0.0706,0.0398,150772726.94,0.0,0.2935,1.0
